,symbol,company,event_name,date,call_time,eps_estimate,reported_eps,surprise
64,GRTSQ,Gritstone bio Inc,Q4 2024  Earnings Release,2025-03-10,TNS,,,
65,SANA,Sana Biotechnology Inc,Q4 2024  Earnings Release,2025-03-10,TNS,-0.22,,
66,NWBO,Northwest Biotherapeutics Inc,Q4 2024  Earnings Release,2025-03-10,AMC,,,
67,BNED,Barnes & Noble Education Inc,Q3 2025  Earnings Release,2025-03-10,AMC,,,
68,BODI,Beachbody Company Inc,Q4 2024  Earnings Release,2025-03-10,AMC,,,
69,BCKMF,Becker Milk Co Ltd,Q3 2025  Earnings Release,2025-03-10,TNS,,,
70,ISDAY,Israel Discount Bank Ltd,Q4 2024  Earnings Release,2025-03-10,TNS,,,
71,BDMXF,Budimex SA,Full Year 2024  Earnings Release,2025-03-10,TNS,,,
72,CHRS,Coherus BioSciences Inc,Q4 2024  Earnings Release,2025-03-10,AMC,-0.1,,
73,CHBRF,Chill Brands Group PLC,Full Year 2024  Earnings Release,2025-03-10,TNS,,,
74,BNEFF,Bonterra Energy Corp,Q4 2024  Earnings Release,2025-03-10,AMC,,,
75,BPTH,Bio Path Holdings Inc,Q4 2024  Earnings Release,2025-03-10,BMO,,,
76,BRAXF,Braxia Scientific Corp,Q3 2025  Earnings Release,2025-03-10,TNS,,,
77,SNSE,Sensei Biotherapeutics Inc,Q4 2024  Earnings Release,2025-03-10,BMO,,,
78,EVLO,Evelo Biosciences Inc,Q1 2024  Earnings Release,2025-03-10,AMC,,,
79,PBKOF,Pollard Banknote Ltd,Q4 2024  Earnings Release,2025-03-10,AMC,,,
80,BNTX,BioNTech SE,Q4 2024 Biontech SE Earnings Release,2025-03-10,BMO,0.93,,
81,BLRX,BioLine RX Ltd,Q4 2024  Earnings Release,2025-03-10,TAS,,,
82,BIGGQ,Big Lots Inc,Q4 2024  Earnings Release,2025-03-10,BMO,,,
83,BKRRF,Blackrock Silver Corp,Q4 2024  Earnings Release,2025-03-10,AMC,,,
84,YTENQ,Yield10 Bioscience Inc,Q3 2024  Earnings Release,2025-03-10,TNS,,,
85,RVRF,River Financial Corp,Q4 2024  Earnings Release,2025-03-10,TAS,,,
86,CELJF,Cellcom Israel Ltd,Q4 2024  Earnings Release,2025-03-10,TNS,,,
87,CAWRF,Carawine Resources Ltd,Half Year 2025  Earnings Release,2025-03-10,TNS,,,
88,CRMD,CorMedix Inc,Q4 2024  Earnings Release,2025-03-10,BMO,0.05,,
89,FECCF,Frontera Energy Corp,Q4 2024  Earnings Release,2025-03-10,BMO,,,
90,RAND,Rand Capital Corp,Q4 2024  Earnings Release,2025-03-10,BMO,,,
91,MARVF,Marvel Discovery Corp,Q4 2024  Earnings Release,2025-03-10,AMC,,,
92,DNIYY,Danieli & C Officine Meccaniche SpA,Half Year 2025  Earnings Release,2025-03-10,TNS,,,
93,TORVF,Volt Carbon Technologies Inc,Q4 2024  Earnings Release,2025-03-10,TNS,,,
94,UVV,Universal Corp,Q3 2025  Earnings Release,2025-03-10,TNS,,,
95,WNW,Meiwu Technology Co Ltd,Q2 2024  Earnings Release,2025-03-10,TNS,,,
96,CPHC,Canterbury Park Holding Corp,Q4 2024  Earnings Release,2025-03-10,TNS,,,
97,CLRSF,Castile Resources Ltd,Half Year 2025  Earnings Release,2025-03-10,TNS,,,
98,COMRF,Comet Ridge Ltd,Half Year 2025  Earnings Release,2025-03-10,TNS,,,
99,MHTZF,Manhattan Corp Ltd,Half Year 2025  Earnings Release,2025-03-10,TNS,,,
100,ZJLMF,Zhejiang Leapmotor Technology Co Ltd,Q4 2024  Earnings Release,2025-03-10,TNS,,,
