,symbol,company,event_name,date,call_time,eps_estimate,reported_eps,surprise
285,POLCQ,Polished.Com Inc,Q3 2024  Earnings Release,2025-03-10,AMC,,,
286,INZY,Inozyme Pharma Inc,Q4 2024  Earnings Release,2025-03-10,BMO,-0.42,,
287,TACT,TransAct Technologies Inc,Q4 2024  Earnings Release,2025-03-10,AMC,-0.09,,
288,NPWR,NET Power Inc,Q4 2024  Earnings Release,2025-03-10,BMO,,,
289,MYPS,Playstudios Inc,Q4 2024 PLAYSTUDIOS Inc Earnings Release,2025-03-10,AMC,-0.04,,
290,VIRX,Viracta Therapeutics Inc,Q4 2024  Earnings Release,2025-03-10,TNS,,,
291,LPCN,Lipocine Inc,Q4 2024  Earnings Release,2025-03-10,BMO,-0.26,,
292,PSTV,Plus Therapeutics Inc,Q4 2024  Earnings Release,2025-03-10,AMC,,,
293,METC,Ramaco Resources Inc,Q4 2024  Earnings Release,2025-03-10,AMC,0.42,,
294,PSGTY,Semen Indonesia (Persero) Tbk PT,Full Year 2024  Earnings Release,2025-03-10,TNS,,,
295,KALV,Kalvista Pharmaceuticals Inc,Q3 2025  Earnings Release,2025-03-10,BMO,,,
296,SURG,Surgepays Inc,Q4 2024  Earnings Release,2025-03-10,TNS,,,
297,IGGGF,IGG Inc,Full Year 2024  Earnings Release,2025-03-10,TNS,,,
298,PRPL,Purple Innovation Inc,Q4 2024  Earnings Release,2025-03-10,TNS,-0.14,,
299,NMRD,Nemaura Medical Inc,Q2 2025  Earnings Release,2025-03-10,TNS,,,
300,MTN,Vail Resorts Inc,Q2 2025  Earnings Release,2025-03-10,AMC,,,
301,LFMD,LifeMD Inc,Q4 2024  Earnings Release,2025-03-10,AMC,-0.04,,
302,MYO,Myomo Inc,Q4 2024  Earnings Release,2025-03-10,AMC,-0.02,,
303,WOWI,Metro One Telecommunications Inc,Q2 2024  Earnings Release,2025-03-10,TNS,,,
304,IDEXQ,Ideanomics Inc,Q3 2024  Earnings Release,2025-03-10,AMC,,,
305,OVID,Ovid Therapeutics Inc,Q4 2024  Earnings Release,2025-03-10,BMO,,,
306,VCSA,Vacasa Inc,Q4 2024  Earnings Release,2025-03-10,TNS,-3.24,,
307,SGMA,SigmaTron International Inc,Q3 2025  Earnings Release,2025-03-10,BMO,,,
308,METCB,Ramaco Resources Inc,Q4 2024  Earnings Release,2025-03-10,AMC,,,
309,TLPH,Talphera Inc,Q4 2024  Earnings Release,2025-03-10,TNS,,,
310,MLSRF,Melisron Ltd,Q4 2024  Earnings Release,2025-03-10,TNS,,,
311,PRFX,PainReform Ltd,Q3 2024  Earnings Release,2025-03-10,TNS,-4.74,,
312,USDP,USD Partners LP,Q4 2024  Earnings Release,2025-03-10,TNS,,,
313,SRSSF,S2 Resources Ltd,Half Year 2025  Earnings Release,2025-03-10,TNS,,,
314,HHNNF,Redivium Ltd,Half Year 2025  Earnings Release,2025-03-10,TNS,,,
315,TBLLF,Tombill Mines Ltd,Q4 2024  Earnings Release,2025-03-10,TAS,,,
316,MPPTF,Mpact Ltd,Full Year 2024  Earnings Release,2025-03-10,TNS,,,
317,MURMF,Murchison Minerals Ltd,Q4 2024  Earnings Release,2025-03-10,AMC,,,
318,HEGLF,Peak Minerals Ltd,Half Year 2025  Earnings Release,2025-03-10,TNS,,,
319,LILMF,Lilium NV,Q3 2024  Earnings Release,2025-03-10,AMC,,,
320,FENG,Phoenix New Media Ltd,Q4 2024  Earnings Release,2025-03-10,AMC,,,
321,WMWWF,West Wits Mining Ltd,Half Year 2025  Earnings Release,2025-03-10,TNS,,,
322,URGN,Urogen Pharma Ltd,Q4 2024  Earnings Release,2025-03-10,BMO,-0.69,,
323,POWMF,Power Metal Resources PLC,Full Year 2024  Earnings Release,2025-03-10,BMO,,,
324,XINXF,New Work SE,Q4 2024  Earnings Release,2025-03-10,TAS,,,
325,PRQR,ProQR Therapeutics NV,Q4 2024  Earnings Release,2025-03-10,BMO,-0.1,,
326,RNLXY,Renalytix PLC,Half Year 2025  Earnings Release,2025-03-10,TNS,,,
327,SLTTF,Ravelin Properties REIT,Q4 2024 Slate Office REIT Earnings Release,2025-03-10,BMO,,,
328,RVLPQ,RVL Pharmaceuticals PLC,Q2 2024  Earnings Release,2025-03-10,BMO,,,
329,RIBT,RiceBran Technologies,Q3 2024  Earnings Release,2025-03-10,BMO,,,
330,SNLRF,Sanlorenzo SpA,Full Year 2024  Earnings Release,2025-03-10,TNS,,,
331,TRATF,Traton SE,Full Year 2024  Earnings Release,2025-03-10,TAS,,,
332,TRATY,Traton SE,Full Year 2024  Earnings Release,2025-03-10,TAS,,,
